"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;
"Stat";"C.da Gabbia";;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"7";"7";"7";"7";"7";"7";"7";"7"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"02/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;
"02/09/2015 01:00";;;;;;;;;"4.19316322";"80400000";"00:59";"1.5377891";"00:28";"9.5176645";"1.89524897";"720";"1.03671658";"80400000";"00:07";"0.76146248";"00:22";"1.19031409";"0.16636696";"4"
"02/09/2015 02:00";"1.17983085";"80400000";"02:00";"0.48241904";"01:10";"3.62863668";"1.06784898";"720";;;;;;;;;;;;;;;;
"02/09/2015 03:00";"0.22399425";"80400000";"03:00";"0.0";"02:02";"1.11166236";"0.24260535";"720";"3.99895756";"80400000";"02:33";"1.23702576";"02:59";"10.32538316";"2.41942186";"720";"1.22780478";"81400000";"02:14";"1.07835256";"02:37";"1.38388784";"0.1248215";"3"
"02/09/2015 04:00";"0.049115";"80400000";"04:00";"0.0";"03:08";"1.11166236";"0.14917763";"720";"4.19418041";"80400000";"03:22";"2.24684474";"03:00";"9.31556801";"1.31416922";"720";"1.12572544";"80400000";"03:52";"0.96856131";"03:37";"1.42332506";"0.1756298";"4"
"02/09/2015 05:00";"0.0";"80400000";"05:00";"0.0";"05:00";"0.0";"0.0";"720";"4.81486532";"80400000";"04:09";"2.24684474";"04:53";"7.80083954";"1.61196322";"720";"0.73267731";"80400000";"04:07";"0.31770775";"04:37";"1.15845962";"0.31000601";"4"
"02/09/2015 06:00";"0.0";"80400000";"06:00";"0.0";"06:00";"0.0";"0.0";"720";"8.48316734";"80400000";"05:12";"4.77138835";"05:48";"12.84992869";"2.2506477";"720";"0.74108587";"80400000";"05:37";"0.38864553";"05:07";"1.04845378";"0.25788984";"4"
