"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;
"Stat";"C.da Gabbia";;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"7";"7";"7";"7";"7";"7";"7";"7"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"31/08/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;
"31/08/2015 01:00";;;;;;;;;"9.39565595";"80400000";"00:40";"6.40187121";"00:59";"13.55290034";"1.91688134";"720";"1.17993967";"80400000";"00:52";"0.87345045";"00:22";"1.40311931";"0.20346509";"4"
"31/08/2015 02:00";"2.17993238";"80400000";"02:00";"1.31288395";"01:45";"3.28220681";"0.84989063";"720";;;;;;;;;"1.377078";"80400000";"01:07";"1.14432128";"01:22";"1.57100567";"0.15413652";"4"
"31/08/2015 03:00";"1.59369595";"80400000";"02:39";"0.00000305";"03:00";"3.28220681";"0.63993301";"720";"23.14558216";"80400000";"02:54";"15.16707384";"02:00";"39.137684";"6.9222373";"720";"1.53278884";"80400000";"02:37";"1.36760567";"02:22";"1.87239768";"0.20498042";"4"
"31/08/2015 04:00";"1.45146545";"80400000";"03:28";"0.00000305";"03:56";"3.28220681";"0.87590854";"720";"18.57915638";"80400000";"04:00";"11.54971324";"03:23";"24.98561448";"3.62409084";"720";"0.6971596";"80400000";"03:37";"0.52763791";"03:07";"0.99598166";"0.18102803";"4"
"31/08/2015 05:00";"1.08677637";"80400000";"04:50";"0.00000305";"04:59";"3.28220681";"0.59653152";"720";"10.69346037";"80400000";"04:33";"5.34852555";"04:59";"16.20060353";"2.19314813";"720";"0.64998504";"80400000";"04:22";"0.53621935";"04:52";"0.8459884";"0.12301429";"4"
"31/08/2015 06:00";"1.82527295";"80400000";"05:08";"0.00000305";"05:55";"3.28220681";"0.870911";"720";"15.04558727";"80400000";"05:42";"10.51618164";"05:24";"18.78443253";"2.09525182";"720";"0.7831022";"80400000";"05:07";"0.46720777";"05:37";"1.2421638";"0.31078706";"4"
