"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Enna";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"12";"12";"12";"12";"12";"12";"12";"12"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"06/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06/09/2015 01:00";;;;;;;;;"2.56661718";"80400000";"00:51";"1.02266953";"00:07";"4.21851252";"0.58510259";"720";"0.1929279";"80400000";"00:59";"0.15493754";"00:30";"0.21719427";"0.01224181";"720";"81.30073875";"80400000";"00:37";"77.28508305";"00:44";"86.82644985";"2.21456172";"720";;;;;;;;;"44.70000076";"80000000";"01:19";"44.70000076";"01:19";"44.70000076";"0.0";"1"
"06/09/2015 02:00";"0.25302553";"80400000";"01:59";"0.0";"01:55";"1.57558318";"0.32170558";"720";;;;;;;;;"0.17853114";"80400000";"01:00";"0.15776643";"01:59";"0.20021506";"0.00716334";"720";"84.6877101";"80400000";"01:57";"81.0085311";"01:22";"88.68818385";"1.83315962";"720";;;;;;;;;"44.70000076";"80000000";"01:19";"44.70000076";"01:19";"44.70000076";"0.0";"1"
"06/09/2015 03:00";"0.33299123";"80400000";"02:59";"0.0";"02:57";"1.2473383";"0.3351432";"720";"1.54806036";"80400000";"02:37";"0.0";"02:20";"3.04564392";"0.51130322";"720";"0.17739934";"81400000";"02:43";"0.15210747";"02:11";"0.21436538";"0.01169402";"720";"84.2617377";"80400000";"02:14";"79.1467971";"02:44";"87.7572969";"2.05793627";"720";;;;;;;;;"44.70000076";"80000000";"01:19";"44.70000076";"01:19";"44.70000076";"0.0";"1"
"06/09/2015 04:00";"0.40611759";"80400000";"03:59";"0.0";"03:07";"1.57558318";"0.35186064";"720";"1.68814878";"80400000";"03:51";"0.0";"03:22";"3.04564392";"0.4629277";"720";;;;;;;;;"77.67099585";"81400000";"03:20";"72.3980313";"03:00";"82.6375683";"2.30563746";"720";;;;;;;;;"44.70000076";"80000000";"01:19";"44.70000076";"01:19";"44.70000076";"0.0";"1"
"06/09/2015 05:00";"0.10896036";"80400000";"05:00";"0.0";"04:59";"0.91909443";"0.19048613";"720";"1.31935266";"80400000";"04:18";"0.0";"04:58";"2.53377093";"0.44922058";"720";"0.15510456";"80400000";"04:26";"0.1352544";"04:55";"0.17771354";"0.00749856";"720";;;;;;;;;;;;;;;;;"44.70000076";"80000000";"01:19";"44.70000076";"01:19";"44.70000076";"0.0";"1"
"06/09/2015 06:00";"0.16594898";"80400000";"06:00";"0.0";"05:56";"0.91909443";"0.22208534";"720";"1.4856393";"80400000";"05:51";"0.0";"05:59";"3.04564392";"0.475132";"720";"0.15836328";"80400000";"05:45";"0.1409157";"05:15";"0.1805436";"0.0073327";"720";"88.2116781";"80400000";"05:07";"82.70462025";"05:24";"92.2483611";"2.39288081";"720";;;;;;;;;"44.70000076";"80000000";"01:19";"44.70000076";"01:19";"44.70000076";"0.0";"1"
