"03/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"03/09/2015 01:00";;;;;;;;;"1.15699135";"80400000";"00:42";"0.0";"00:56";"2.51820151";"0.51506603";"720";"0.15749429";"80400000";"00:28";"0.1344987";"00:43";"0.18277098";"0.01008685";"720";"118.6973529";"80400000";"00:45";"115.2926859";"00:57";"121.78391715";"1.29892256";"720";;;;;;;;;"21.60000038";"80000000";"01:16";"21.60000038";"01:16";"21.60000038";"0.0";"1"
"03/09/2015 02:00";"1.11096775";"80400000";"01:50";"0.0";"01:21";"2.26987688";"0.40793599";"720";;;;;;;;;"0.16568547";"80400000";"01:04";"0.14301693";"01:31";"0.18561038";"0.00780458";"720";"122.00061405";"80400000";"01:51";"119.0019495";"01:28";"125.02954275";"1.5402617";"720";;;;;;;;;"21.60000038";"80000000";"01:16";"21.60000038";"01:16";"21.60000038";"0.0";"1"
"03/09/2015 03:00";"0.94946001";"80400000";"02:25";"0.0";"02:43";"1.9432775";"0.36455585";"720";"1.4424128";"80400000";"02:58";"0.0";"02:50";"2.82428977";"0.51253263";"720";"0.1634651";"81400000";"02:53";"0.14301693";"02:04";"0.18561038";"0.00895038";"720";"121.00179735";"80400000";"02:53";"117.37915665";"02:13";"125.26136175";"1.53699788";"720";;;;;;;;;"21.60000038";"80000000";"01:16";"21.60000038";"01:16";"21.60000038";"0.0";"1"
"03/09/2015 04:00";"0.83725949";"80400000";"03:54";"0.0";"03:56";"1.61667608";"0.35839487";"720";"1.06080628";"80400000";"03:58";"0.0";"03:08";"2.82428977";"0.52809631";"720";;;;;;;;;"118.85354145";"81400000";"03:59";"116.6836797";"03:16";"121.3202592";"0.94669334";"720";;;;;;;;;"21.60000038";"80000000";"01:16";"21.60000038";"01:16";"21.60000038";"0.0";"1"
"03/09/2015 05:00";"0.60337695";"80400000";"04:58";"0.0";"04:22";"1.61667608";"0.39253047";"720";"0.62527754";"80400000";"04:56";"0.0";"04:00";"2.31844722";"0.4617155";"720";"0.18382568";"80400000";"04:26";"0.13229819";"04:58";"0.29077243";"0.04174899";"720";;;;;;;;;;;;;;;;;"21.60000038";"80000000";"01:16";"21.60000038";"01:16";"21.60000038";"0.0";"1"
"03/09/2015 06:00";"0.67640975";"80400000";"05:59";"0.0";"05:59";"1.61667608";"0.38006205";"720";"1.70388262";"80400000";"05:34";"0.0";"05:49";"5.85934886";"1.41084568";"720";"0.1884276";"80400000";"05:36";"0.12663806";"05:18";"0.38132864";"0.05807646";"720";"113.8960263";"80400000";"05:47";"108.26080965";"05:17";"117.5416494";"2.28066405";"720";;;;;;;;;"21.60000038";"80000000";"01:16";"21.60000038";"01:16";"21.60000038";"0.0";"1"
"03/09/2015 07:00";"0.71383128";"80400000";"06:59";"0.0";"06:50";"1.9432775";"0.38616202";"720";"9.82050044";"80400000";"06:02";"1.30676022";"06:28";"18.71619898";"4.81096866";"720";"0.19267678";"80400000";"06:07";"0.13795715";"06:39";"0.23983362";"0.02509448";"720";"105.30382065";"80400000";"06:25";"93.875523";"06:03";"115.2214245";"5.64380912";"720";;;;;;;;;"21.60000038";"80000000";"01:16";"21.60000038";"01:16";"21.60000038";"0.0";"1"
"03/09/2015 08:00";"0.67107965";"80400000";"07:59";"0.0";"07:53";"1.61667608";"0.38541656";"720";"10.77563048";"80400000";"07:58";"1.81260277";"07:35";"19.22202432";"4.7153113";"720";"0.20072197";"80400000";"07:58";"0.14361728";"07:33";"0.2851123";"0.0324085";"720";"105.2313423";"80400000";"07:16";"92.019375";"07:53";"116.84557395";"6.14614214";"720";;;;;;;;;"21.60000038";"80000000";"01:16";"21.60000038";"01:16";"21.60000038";"0.0";"1"
"03/09/2015 09:00";"0.27924583";"80400000";"09:00";"0.0";"08:53";"1.29007772";"0.31696636";"720";"2.15709163";"80400000";"08:58";"0.0";"08:05";"4.84766186";"0.87424288";"720";"0.15317269";"80400000";"08:31";"0.123808";"08:23";"0.1860659";"0.01113454";"720";"112.41463905";"80400000";"08:44";"107.3327157";"08:12";"117.0776124";"2.05475823";"720";;;;;;;;;"21.60000038";"80000000";"01:16";"21.60000038";"01:16";"21.60000038";"0.0";"1"
"03/09/2015 10:00";"0.50492016";"80400000";"09:56";"0.0";"09:56";"1.61667608";"0.37326239";"720";"1.5175869";"80400000";"09:20";"0.0";"09:43";"3.33013231";"0.59937758";"720";"0.15011837";"80400000";"09:28";"0.12097794";"09:01";"0.18040578";"0.01015576";"720";"118.67662485";"80400000";"09:00";"111.2770701";"10:00";"123.57419025";"2.2012032";"720";;;;;;;;;"21.60000038";"80000000";"01:16";"21.60000038";"01:16";"21.60000038";"0.0";"1"
"03/09/2015 11:00";"0.75894439";"80400000";"10:58";"0.0";"10:48";"1.9432775";"0.36899913";"720";"3.14998558";"80400000";"10:04";"0.80091768";"10:53";"4.84766186";"0.7783427";"720";"0.17338259";"80400000";"10:30";"0.14361728";"10:06";"0.20870525";"0.01429982";"720";"123.8593755";"80400000";"10:57";"121.25396535";"10:45";"127.05450765";"1.25786945";"720";;;;;;;;;"21.60000038";"80000000";"01:16";"21.60000038";"01:16";"21.60000038";"0.0";"1"
