data,partinico_SO2_Max_orario,partinico_SO2_Media_24_h,partinico_CO_Max_orario,partinico_CO_Max_media_8h,partinico_NO2_Max_orario,partinico_O3_Max_orario,partinico_O3_Max_media_8h,partinico_PM10_Media_24_h,partinico_Benzene_Max_orario,sasol_Benzene_Max_orario,enna_SO2_Max_orario,enna_SO2_Media_24_h,enna_CO_Max_orario,enna_CO_Max_media_8h,enna_NO2_Max_orario,enna_O3_Max_orario,enna_O3_Max_media_8h,enna_PM10_Media_24_h,enna_Benzene_Max_orario,ex_autoparco_Benzene_Max_orario,parcheggio_agip_Benzene_Max_orario,trapani_SO2_Max_orario,trapani_SO2_Media_24_h,trapani_CO_Max_orario,trapani_CO_Max_media_8h,trapani_NO2_Max_orario,trapani_O3_Max_orario,trapani_O3_Max_media_8h,trapani_PM10_Media_24_h,trapani_Benzene_Max_orario,termini_SO2_Max_orario,termini_SO2_Media_24_h,termini_CO_Max_orario,termini_CO_Max_media_8h,termini_NO2_Max_orario,termini_O3_Max_orario,termini_O3_Max_media_8h,termini_PM10_Media_24_h,termini_Benzene_Max_orario,cda_gabbia_SO2_Max_orario,cda_gabbia_SO2_Media_24_h,cda_gabbia_NO2_Max_orario,cda_gabbia_Benzene_Max_orario,termica_milazzo_CO_Max_orario,termica_milazzo_CO_Max_media_8h,termica_milazzo_NO2_Max_orario,termica_milazzo_O3_Max_orario,termica_milazzo_O3_Max_media_8h,termica_milazzo_PM10_Media_24_h,termica_milazzo_Benzene_Max_orario,boccetta_SO2_Max_orario,boccetta_SO2_Media_24_h,boccetta_NO2_Max_orario,boccetta_O3_Max_orario,boccetta_O3_Max_media_8h,boccetta_PM10_Media_24_h,misterbianco_SO2_Max_orario,misterbianco_SO2_Media_24_h,misterbianco_CO_Max_orario,misterbianco_CO_Max_media_8h,misterbianco_NO2_Max_orario,misterbianco_O3_Max_orario,misterbianco_O3_Max_media_8h,misterbianco_PM10_Media_24_h,misterbianco_Benzene_Max_orario,megara_Benzene_Max_orario,lab_mobile1_NO2_Max_orario,lab_mobile1_O3_Max_orario,lab_mobile1_O3_Max_media_8h,lab_mobile1_Benzene_Max_orario,porto_empedocle_SO2_Max_orario,porto_empedocle_SO2_Media_24_h,porto_empedocle_CO_Max_orario,porto_empedocle_CO_Max_media_8h,porto_empedocle_NO2_Max_orario,porto_empedocle_O3_Max_orario,porto_empedocle_O3_Max_media_8h,porto_empedocle_PM10_Media_24_h,porto_empedocle_Benzene_Max_orario,porto_empedocle_PM2.5_Media_24_h,villa_augusta_Benzene_Max_orario
2013-01-11,9.56347137,0.7959380155,1.01836285,0.43079709,98.20773856,72.2016036,50.6091999,17.9479996504,3.63257043,0.94751958,0.6080104,0.18748288,0.20928574,0.193728956667,9.26140678,86.67870015,82.95230615,5.076000004,0.16381734,0.29453032,0.37025411,0.20531908,0.0226840591667,0.26538362,0.21315488875,17.80255934,92.0809407,86.1416286937,24.5840003176,0.63565449,0.77192131,0.336096657391,0.32804565,0.29343401125,27.77097784,73.71191835,67.873268225,13.9720000076,0.80624302,38.42064297,8.79385183208,12.76111629,3.22295741,,,3.52452918,77.3440353,70.712326125,16.7480007144,0.76662477,,,,,,,6.52454825,6.08588453417,0.66552757,0.61659961,37.62523464,65.89203705,53.0781670125,13.0440001672,1.31500643,2.20660219,,,,,,,,,,,,,,,
2013-01-12,1.67785575,0.397873451667,0.89081141,0.51393007375,116.71798264,63.61526325,64.826727,26.2520003496,4.26924803,5.7719713,0.6080104,0.0253337666667,0.2721183,0.23369592125,19.66962352,86.2129275,84.782622225,11.5280001824,0.46115763,0.26832426,0.53675836,0.65265772,0.158189900833,0.3176703,0.22817347125,37.89195864,85.87914405,86.2210546313,23.74000076,1.00781039,0.49897274,0.0515088466667,0.31324942,0.29907603625,21.19199616,67.77463875,69.9119770125,21.5839996352,0.65181462,32.74127766,4.37812351375,18.97863819,2.75509165,,,17.67646677,77.3440353,75.2943373875,24.5719996656,1.47852884,,,,,,,11.44147374,6.5954756968,1.36377549,0.83350918125,87.09703008,63.092274,59.5503111,18.9440007372,3.16360122,3.15032225,,,,,,,,,,,,,,,
2013-01-13,0.66074388,0.375928372083,0.34618118,0.5505198625,83.42455608,88.99206225,62.4340112813,26.60000038,1.09970956,54.93934683,0.19528943,0.0222550120833,0.23484742,0.2396652775,7.0718188,92.1131799,87.83070435,7.48000019,0.22561331,0.25594025,1.85792476,2.47126932,0.50408478,0.25704293,0.26733140125,20.07221424,89.93015115,85.0924407375,14.9640003952,0.74818453,0.89262599,0.325833664583,0.27757637,0.2930522225,12.7618199,78.2537553,67.8041961,8.3640001672,0.36957272,0.00388697,0.000161957083333,11.80831315,1.77389615,,,4.65095147,74.277441,70.4509586813,13.85999962,0.54665581,,,,,,,11.44147374,6.77321770745,1.36377549,0.96747411125,87.09703008,63.092274,47.8436635688,20.99999523,4.31933528,5.36294305,,,,,,,,,,,,,,,
2013-01-14,1.63131173,0.76429020375,0.63946365,0.4198665075,103.1219036,88.99206225,80.70955185,,,20.28913983,0.2371522,0.01156807875,0.25700672,0.20809307,18.80342634,94.96457355,92.92763865,9.1239998252,0.43113579,0.56408414,2.93458808,0.53500912,0.135871073333,0.41266258,0.2763476325,62.2754652,87.37842645,84.16883055,12.8720001976,2.07338129,0.84071831,0.0809274366667,0.28363362,0.2553513725,21.32019576,77.20592145,75.413982525,14.4239998252,0.20903215,10.90516896,0.680187525,52.95700816,3.72877863,,,28.7876456,69.59555505,69.9818394187,20.6959999848,1.48321314,,,,,,,9.51888507,7.62784120417,1.16151059,0.9415366275,85.03937392,60.11343975,48.2298008062,19.4399897,2.97785329,6.60622555,,,,,,,,,,,,,,,
2013-01-15,2.99495211,0.968799665833,1.64702834,0.871885575,130.8465728,57.72753945,27.20391975,,,25.24455369,0.2371522,0.03013790625,0.23494437,0.23190464625,8.40373712,86.97016965,84.44286375,9.19999981,0.24612722,0.44072915,0.48653687,1.76247219,0.286860274167,0.73404946,0.37752096,67.01290408,82.34276715,72.2777328,8.7680003724,3.80180635,0.55247305,0.105160469583,0.39052547,0.31445100375,39.23024392,71.78175585,54.2959324688,9.2279999924,0.8296208,29.46083229,1.81659374958,31.06143424,2.37337188,,,43.4894916,64.89110565,49.2100608,13.4160003648,1.02597808,,,,,,,9.51888507,7.58884789917,1.11785542,1.03805664125,74.59417528,55.88164575,36.2384243812,9.1239994056,1.31804624,1.73164692,,,,,,,,,,,,,,,
2013-01-16,0.99644541,0.330171465833,0.68743574,0.5140407425,104.71697048,64.89784875,56.64151845,,4.98752055,9.59337626,,,0.11046594,0.0766568625,6.7524517,84.41844495,82.3799606,,0.12366313,0.53906492,0.44032032,0.55930729,0.194767789583,0.21239146,0.19394932,10.44758099,89.14188675,84.7299015,14.7440000152,0.42179872,0.18082972,0.0147956975,0.28708739,0.285833545,13.30840143,71.78175585,67.71893835,3.047999952,0.31443403,18.9469134,3.2081145925,9.89148535,1.04954095,,,7.5146705,73.5374955,70.0279264125,8.6840000152,1.03509446,,,,,,,8.0108073,7.70560165958,0.73372008,0.64838512375,40.7087744,68.83510095,56.29191465,5.7239998964,,4.60474718,,,,,,,,,,,,,,,
2013-01-17,1.07589956,0.436102694583,0.46369834,0.45715257125,73.30367088,66.7869741,53.47744275,10.0,3.78411564,12.15470601,,,0.1112263,0.0903449475,3.30247906,81.67827255,78.9818130937,,0.22154226,1.01554772,0.41359763,0.46834579,0.12306407625,0.24397418,0.21235072375,12.21317724,85.755075,81.68051835,19.8,0.36692241,0.25744033,0.0596367352381,0.27699354,0.24441232125,9.06531015,74.56633695,69.93607495,5.487999902,0.44383711,27.48952017,3.59973180042,46.79652504,3.3771041,,,25.96153752,73.1152737,67.2665471625,10.0360003648,0.55597661,,,,,,,9.02210091,7.90374987696,0.73372008,0.6478243375,41.67890408,68.83510095,58.32559485,4.8499999,,4.82525108,,,,,,,,,,,,,,,
2013-01-18,0.82788478,0.441073494167,0.7619448,0.56005599875,98.09447168,81.1222062,66.33387825,19.9839996352,6.28440098,0.78607693,0.03003303,0.00173907041667,0.28471285,0.2791092225,7.94179983,83.9135304,79.6680631687,8.10000038,0.6723987,0.7513474,0.92830031,0.25486529,0.0561572158333,0.32034269,0.297032765,16.38211542,86.58509475,80.61343275,23.7439996352,0.71661786,0.79313084,0.30314397,0.34834432,0.32924723,18.08307269,69.88534875,69.8938125375,12.6079996312,0.80305371,21.59956467,4.75657688458,11.1134197,1.9331136,,,8.96922833,72.6124938,70.1426364188,12.4040000152,0.50327465,,,,,,,8.51668039,8.20122966042,0.78781366,0.750596805,43.57444176,66.6701868,60.1921482,11.0120001784,,0.96463569,,,,,,,,,,,,,,,
2013-01-19,0.62911518,0.253410721667,0.44115477,0.58991665,78.1748924,68.88649215,56.2304964375,10.7040001672,2.49050791,16.07605461,0.03156666,0.00396926625,0.24148517,0.2767885525,10.17121286,86.4765867,83.34940425,3.8760000632,0.33145047,0.91140794,6.10465437,0.34154318,0.0800950216667,0.23784334,0.2866607775,10.89600044,80.98321455,78.0016596188,16.0279998024,0.27934753,0.26694521,0.0499924575,0.33746206,0.33225395375,15.95472989,62.88816555,61.7525591812,10.49999962,0.5421688,21.59956467,1.37989738083,27.91007584,3.50027399,,,23.14644256,70.44482655,69.8277880125,12.6919998176,1.17533876,,,,,,,10.19520126,8.7002400325,1.28287514,0.964646965,68.27922168,57.91618665,53.4207135,20.3240007372,,16.4507886,,,,,,,,,,,,,,,
2013-01-20,1.12162286,0.46001228,0.28946077,0.25099254,68.92955024,72.3060219,66.42489015,31.4199919532,2.42112003,31.20043113,0.13709465,0.03357079,0.24573318,0.21872362125,13.46890427,75.4510596,72.4737639937,29.908000002,0.23063831,0.20308575,3.68272379,0.14516556,0.0521735416667,0.19093646,0.16511402875,13.06726382,75.8007831,66.8314077375,34.420000722,0.11703839,1.37900013,0.566187714167,0.23973667,0.20999077875,9.6268875,62.12707305,60.2116087125,37.4719911912,0.23296216,2.75696903,0.160024187083,6.52833854,0.98808872,,,7.47057405,66.76564755,63.8818376437,30.2679999924,1.03446189,,,,,,,11.68509609,10.0452670267,0.86772472,0.747430795,62.32674504,47.83397535,37.795863525,35.9639912368,,18.43298262,,,,,,,,,,,,,,,
