Intestazione_1,Intestazione_2,unita_misura,nome_campo_output
termini O3 (µg/m3) -2014,Max orario,(µg/m3),termini_O3_Max_orario
termini O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),termini_O3_Max_media_8h
termini PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),termini_PM10_Media_24_h
termini Benzene (µg/m3) -2014,Max orario,(µg/m3),termini_Benzene_Max_orario
termini PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),termini_PM2.5_Media_24_h
cda_gabbia SO2(µg/m3)-2014,Max orario,(µg/m3),cda_gabbia_SO2_Max_orario
cda_gabbia SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),cda_gabbia_SO2_Media_24_h
cda_gabbia CO(mg/m3) - 2014,Max orario,(mg/m3),cda_gabbia_CO_Max_orario
 cda_gabbia CO(mg/m3) -2014 ,Max media 8h,(mg/m3),cda_gabbia_CO_Max_media_8h
cda_gabbia NO2 (µg/m3) -2014,Max orario,(µg/m3),cda_gabbia_NO2_Max_orario
cda_gabbia O3 (µg/m3) -2014,Max orario,(µg/m3),cda_gabbia_O3_Max_orario
cda_gabbia O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),cda_gabbia_O3_Max_media_8h
cda_gabbia PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),cda_gabbia_PM10_Media_24_h
cda_gabbia Benzene (µg/m3) -2014,Max orario,(µg/m3),cda_gabbia_Benzene_Max_orario
cda_gabbia PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),cda_gabbia_PM2.5_Media_24_h
termica_milazzo SO2(µg/m3)-2014,Max orario,(µg/m3),termica_milazzo_SO2_Max_orario
termica_milazzo SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),termica_milazzo_SO2_Media_24_h
termica_milazzo CO(mg/m3) - 2014,Max orario,(mg/m3),termica_milazzo_CO_Max_orario
 termica_milazzo CO(mg/m3) -2014 ,Max media 8h,(mg/m3),termica_milazzo_CO_Max_media_8h
termica_milazzo NO2 (µg/m3) -2014,Max orario,(µg/m3),termica_milazzo_NO2_Max_orario
termica_milazzo O3 (µg/m3) -2014,Max orario,(µg/m3),termica_milazzo_O3_Max_orario
termica_milazzo O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),termica_milazzo_O3_Max_media_8h
termica_milazzo PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),termica_milazzo_PM10_Media_24_h
termica_milazzo Benzene (µg/m3) -2014,Max orario,(µg/m3),termica_milazzo_Benzene_Max_orario
termica_milazzo PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),termica_milazzo_PM2.5_Media_24_h
boccetta SO2(µg/m3)-2014,Max orario,(µg/m3),boccetta_SO2_Max_orario
boccetta SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),boccetta_SO2_Media_24_h
boccetta CO(mg/m3) - 2014,Max orario,(mg/m3),boccetta_CO_Max_orario
 boccetta CO(mg/m3) -2014 ,Max media 8h,(mg/m3),boccetta_CO_Max_media_8h
boccetta NO2 (µg/m3) -2014,Max orario,(µg/m3),boccetta_NO2_Max_orario
boccetta O3 (µg/m3) -2014,Max orario,(µg/m3),boccetta_O3_Max_orario
boccetta O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),boccetta_O3_Max_media_8h
boccetta PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),boccetta_PM10_Media_24_h
boccetta Benzene (µg/m3) -2014,Max orario,(µg/m3),boccetta_Benzene_Max_orario
boccetta PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),boccetta_PM2.5_Media_24_h
misterbianco SO2(µg/m3)-2014,Max orario,(µg/m3),misterbianco_SO2_Max_orario
misterbianco SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),misterbianco_SO2_Media_24_h
misterbianco CO(mg/m3) - 2014,Max orario,(mg/m3),misterbianco_CO_Max_orario
 misterbianco CO(mg/m3) -2014 ,Max media 8h,(mg/m3),misterbianco_CO_Max_media_8h
misterbianco NO2 (µg/m3) -2014,Max orario,(µg/m3),misterbianco_NO2_Max_orario
misterbianco O3 (µg/m3) -2014,Max orario,(µg/m3),misterbianco_O3_Max_orario
misterbianco O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),misterbianco_O3_Max_media_8h
misterbianco PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),misterbianco_PM10_Media_24_h
misterbianco Benzene (µg/m3) -2014,Max orario,(µg/m3),misterbianco_Benzene_Max_orario
misterbianco PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),misterbianco_PM2.5_Media_24_h
megara SO2(µg/m3)-2014,Max orario,(µg/m3),megara_SO2_Max_orario
megara SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),megara_SO2_Media_24_h
megara CO(mg/m3) - 2014,Max orario,(mg/m3),megara_CO_Max_orario
 megara CO(mg/m3) -2014 ,Max media 8h,(mg/m3),megara_CO_Max_media_8h
megara NO2 (µg/m3) -2014,Max orario,(µg/m3),megara_NO2_Max_orario
megara O3 (µg/m3) -2014,Max orario,(µg/m3),megara_O3_Max_orario
megara O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),megara_O3_Max_media_8h
megara PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),megara_PM10_Media_24_h
megara Benzene (µg/m3) -2014,Max orario,(µg/m3),megara_Benzene_Max_orario
megara PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),megara_PM2.5_Media_24_h
Lab_Mobile_1_SO2(µg/m3)-2014,Max orario,(µg/m3),lab_mobile_1_so2__Max_orario
Lab_Mobile_1_SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),lab_mobile_1_so2__Media_24_h
Lab_Mobile1 CO(mg/m3) - 2014,Max orario,(mg/m3),lab_mobile1_CO_Max_orario
 Lab_Mobile1 CO(mg/m3) -2014 ,Max media 8h,(mg/m3),lab_mobile1_CO_Max_media_8h
Lab_Mobile1 NO2 (µg/m3) -2014,Max orario,(µg/m3),lab_mobile1_NO2_Max_orario
Lab_Mobile1 O3 (µg/m3) -2014,Max orario,(µg/m3),lab_mobile1_O3_Max_orario
Lab_Mobile1 O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),lab_mobile1_O3_Max_media_8h
Lab_Mobile1 PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),lab_mobile1_PM10_Media_24_h
Lab_Mobile1 Benzene (µg/m3) -2014,Max orario,(µg/m3),lab_mobile1_Benzene_Max_orario
Lab_Mobile1 PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),lab_mobile1_PM2.5_Media_24_h
PORTO EMPEDOCLE_SO2(µg/m3)-2014,Max orario,(µg/m3),porto_empedocle_SO2_Max_orario
