"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Partinico";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"12";"12";"12";"12";"12";"12";"12";"12"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"06/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06/09/2015 01:00";"2.53282833";"81400000";"00:58";"0.9788625";"00:06";"7.83089898";"0.88367232";"716";"4.75434287";"80400000";"00:47";"0.23431369";"00:14";"10.0754905";"1.66933278";"716";"0.21093379";"80400000";"00:40";"0.12451581";"00:21";"0.38614547";"0.04463162";"716";"47.33933505";"80400000";"00:49";"40.69857855";"00:27";"52.57469385";"2.39797604";"716";;;;;;;;;"32.90000153";"80000000";"03:30";"32.90000153";"03:30";"32.90000153";"0.0";"1"
"06/09/2015 02:00";;;;;;;;;"6.28091044";"80400000";"01:26";"0.70294106";"01:34";"12.41862738";"2.31960016";"720";"0.33359715";"80400000";"01:42";"0.16812075";"01:08";"0.67684432";"0.09220776";"720";"52.7824731";"80400000";"01:07";"42.75402705";"01:23";"61.9385655";"3.76485827";"720";"1.0634169";"80400000";"01:21";"0.50435471";"01:51";"2.15648545";"0.67383674";"4";"32.90000153";"80000000";"03:30";"32.90000153";"03:30";"32.90000153";"0.0";"1"
"06/09/2015 03:00";"2.24639842";"80400000";"02:26";"0.65257534";"02:54";"6.19946114";"0.85097678";"720";;;;;;;;;"0.17548966";"81400000";"02:18";"0.08091086";"02:22";"0.38614547";"0.04977666";"720";"58.85946255";"80400000";"02:05";"48.9205122";"02:45";"65.1359919";"3.03606482";"720";"2.96290339";"80400000";"02:50";"0.0";"02:20";"10.80241128";"4.53588204";"4";"32.90000153";"80000000";"03:30";"32.90000153";"03:30";"32.90000153";"0.0";"1"
"06/09/2015 04:00";"2.47072014";"80400000";"03:55";"0.65257534";"03:41";"6.19946114";"0.9214559";"720";"2.539375";"80400000";"03:56";"0.0";"03:30";"8.43529468";"1.68355615";"720";;;;;;;;;"52.15183365";"81400000";"03:32";"41.15535375";"03:54";"61.2534027";"5.32035977";"720";"0.90205154";"80400000";"03:36";"0.0";"03:05";"3.02311589";"1.23114664";"4";"32.90000153";"80000000";"03:30";"32.90000153";"03:30";"32.90000153";"0.0";"1"
"06/09/2015 05:00";"2.33023583";"80400000";"04:41";"0.65257534";"04:02";"6.85203648";"0.97852689";"720";"4.0415856";"80400000";"04:57";"0.0";"04:21";"11.48137262";"2.19104684";"720";"0.2080243";"80400000";"04:52";"0.10084045";"04:20";"0.43536032";"0.06815397";"720";;;;;;;;;"0.73015312";"80400000";"04:21";"0.32145133";"04:06";"1.43156886";"0.44508191";"4";"32.90000153";"80000000";"03:30";"32.90000153";"03:30";"32.90000153";"0.0";"1"
"06/09/2015 06:00";"2.54323122";"80400000";"05:19";"0.65257534";"05:50";"6.85203648";"0.96114839";"720";"2.48144714";"80400000";"05:51";"0.0";"05:57";"32.33528512";"3.94758594";"720";"0.1630785";"80400000";"05:09";"0.07175258";"05:54";"0.31900533";"0.04362947";"720";"57.75742455";"80400000";"05:57";"34.2861897";"05:05";"70.21631925";"6.41222127";"720";"0.30376976";"80400000";"05:21";"0.0";"05:51";"0.74757128";"0.27881564";"4";"32.90000153";"80000000";"03:30";"32.90000153";"03:30";"32.90000153";"0.0";"1"
