"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Partinico";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"12";"12";"12";"12";"12";"12";"12";"12"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"10/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"10/09/2015 01:00";"2.81060561";"81400000";"00:48";"1.30514966";"00:19";"7.50461182";"0.89031536";"720";"0.45105418";"80400000";"01:00";"0.0";"00:01";"5.8578422";"0.98175655";"720";"0.13384346";"80400000";"00:48";"0.05955749";"00:09";"0.30650422";"0.03974704";"720";"71.20089165";"80400000";"00:00";"57.19547295";"00:38";"77.86439115";"3.02554119";"720";"0.06976112";"80400000";"00:36";"0.0";"00:21";"0.22734628";"0.09339823";"4";;;;;;;;
"10/09/2015 02:00";;;;;;;;;"0.15132715";"80400000";"02:00";"0.0";"01:21";"4.68627376";"0.44377902";"720";"0.14336616";"80400000";"01:39";"0.05955749";"01:09";"0.32103064";"0.04605658";"720";"67.46038635";"80400000";"01:59";"60.41061495";"01:48";"72.81197385";"2.10363972";"720";"0.04188921";"80400000";"01:51";"0.0";"01:21";"0.16755482";"0.0725538";"4";;;;;;;;
"10/09/2015 03:00";"2.8908164";"80400000";"02:49";"0.9788625";"02:02";"6.52574932";"0.98164196";"720";;;;;;;;;"0.14853106";"81400000";"02:59";"0.0740839";"02:14";"0.36460872";"0.04535461";"720";"64.51026015";"80400000";"02:01";"55.1285532";"02:32";"72.35264505";"3.32368995";"720";"0.09883206";"80400000";"02:51";"0.0";"02:06";"0.19942963";"0.09883918";"4";;;;;;;;
"10/09/2015 04:00";"2.90214476";"80400000";"03:57";"1.30514966";"03:29";"6.85203648";"1.01723493";"720";"0.05109246";"80400000";"04:00";"0.0";"03:34";"1.8745095";"0.22242105";"720";;;;;;;;;"65.89267545";"81400000";"03:59";"62.47751475";"03:17";"69.5968119";"1.28889968";"720";"0.23475614";"80400000";"03:36";"0.0";"03:06";"0.59102752";"0.22018253";"4";;;;;;;;
"10/09/2015 05:00";"2.89580275";"80400000";"04:58";"1.30514966";"04:53";"9.1360517";"0.92948613";"720";"2.39130207";"80400000";"04:37";"0.0";"04:48";"8.66960837";"2.44614397";"720";"0.18582296";"80400000";"04:10";"0.06464413";"04:35";"0.42781621";"0.06023259";"720";;;;;;;;;"0.24945179";"80400000";"04:06";"0.0";"04:51";"0.46432762";"0.16517707";"4";;;;;;;;
"10/09/2015 06:00";"3.02133208";"80400000";"05:26";"0.9788625";"05:51";"7.50461182";"0.98191045";"720";"16.4227894";"80400000";"05:00";"5.15490305";"05:11";"40.77058936";"4.75351498";"720";"0.30613397";"80400000";"05:02";"0.13727854";"05:41";"0.82004229";"0.11526875";"720";"41.4255765";"80400000";"05:11";"17.76304709";"05:27";"52.40783205";"7.12316346";"720";"0.52235357";"80400000";"05:21";"0.34493284";"05:50";"0.64530989";"0.1254317";"4";;;;;;;;
