"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Misterbianco";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"12";"12";"12";"12";"12";"12";"12";"12"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"04/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"04/09/2015 01:00";"2.82311674";"80400000";"00:38";"0.84096849";"00:57";"4.93216931";"0.70182356";"720";"36.38302736";"80400000";"01:00";"21.0160348";"00:05";"63.68694184";"11.85789322";"720";"0.29230835";"80400000";"00:56";"0.21641522";"00:08";"0.42704299";"0.05652419";"720";"41.8485165";"80400000";"00:03";"16.95676185";"00:46";"54.31078275";"10.48912347";"720";"0.65803358";"80400000";"00:23";"0.52148404";"00:53";"0.7998166";"0.11754486";"4";"39.79999161";"80000000";"02:27";"39.79999161";"02:27";"39.79999161";"0.0";"1"
"04/09/2015 02:00";"3.01205093";"80400000";"01:57";"1.52283648";"01:46";"4.93216931";"0.57154688";"720";;;;;;;;;"0.23158754";"80400000";"01:33";"0.18510581";"01:59";"0.29326611";"0.0224256";"720";"52.94584365";"80400000";"01:58";"42.0232785";"01:15";"59.9630367";"4.15406681";"720";"0.44316792";"80400000";"01:39";"0.25299197";"01:54";"0.56563811";"0.11748689";"4";"39.79999161";"80000000";"02:27";"39.79999161";"02:27";"39.79999161";"0.0";"1"
"04/09/2015 03:00";;;;;;;;;"37.64200288";"80400000";"02:59";"18.60775417";"02:20";"65.38500816";"14.73030994";"720";"0.28095072";"81400000";"02:44";"0.1964903";"02:08";"0.39288717";"0.05032445";"720";"34.3080549";"80400000";"02:06";"6.88100438";"02:55";"57.5055159";"16.78988409";"720";"0.91768283";"80400000";"02:09";"0.81190771";"02:39";"1.10287243";"0.1106018";"4";"39.79999161";"80000000";"02:27";"39.79999161";"02:27";"39.79999161";"0.0";"1"
"04/09/2015 04:00";"1.80895417";"80400000";"03:26";"0.0";"03:52";"3.92574509";"1.00840025";"720";"27.51509488";"80400000";"03:07";"13.53491416";"03:27";"63.40136552";"13.64065158";"720";;;;;;;;;"50.7081519";"81400000";"03:24";"4.66925361";"03:08";"64.6322943";"14.83710627";"720";"2.28061538";"80400000";"03:23";"0.64413831";"03:38";"6.79122192";"2.60561299";"4";"39.79999161";"80000000";"02:27";"39.79999161";"02:27";"39.79999161";"0.0";"1"
"04/09/2015 05:00";"2.78899639";"80400000";"04:55";"0.866723";"04:06";"4.94541878";"0.77014868";"720";"49.87090632";"80400000";"04:00";"20.80269384";"04:21";"87.6271512";"19.69323672";"720";"0.35481971";"80400000";"04:41";"0.25154982";"04:18";"0.47020526";"0.05165363";"720";;;;;;;;;"1.00590962";"80400000";"04:09";"0.80063732";"04:39";"1.11985023";"0.12175321";"4";"39.79999161";"80000000";"02:27";"39.79999161";"02:27";"39.79999161";"0.0";"1"
"04/09/2015 06:00";"2.56098703";"80400000";"05:26";"0.18693986";"05:55";"4.60552823";"0.69018807";"720";"46.27760824";"80400000";"05:40";"30.28170152";"05:15";"59.9382364";"6.68094673";"720";"0.41449283";"80400000";"05:01";"0.33390083";"05:11";"0.60651086";"0.06423533";"720";"43.44349905";"80400000";"05:09";"24.3292644";"05:38";"59.9630367";"8.26589348";"720";"1.3926381";"80400000";"05:54";"1.02823277";"05:24";"2.07728657";"0.40885434";"4";"39.79999161";"80000000";"02:27";"39.79999161";"02:27";"39.79999161";"0.0";"1"
